Site_No,Samp_No,Location,Analysis,CAS_NO,Analyte,Total_Or_Disolved,Result,Result_Units,Detected,Result_Qualifier,SampleDate,SampleTime,MDL,MDL_Units,Reporting_Limit,Reporting_Limit_Units,Matrix,Latitude,Longitude,QA_Comment
A8K9,GKMSW02_081215,Bakers Bridge,200.8 Metals (ICP/MS),7440-22-4,"Silver, Dissolved",D,0.1,ug/L,N,U,12-Aug-15,10:50,0.1,ug/L,1,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.7 Metals (ICP),7440-23-5,Sodium,T,2200,ug/L,Y,,12-Aug-15,10:50,480,ug/L,1000,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.8 Metals (ICP/MS),7440-66-6,"Zinc, Dissolved",D,96,ug/L,Y,,12-Aug-15,10:50,2.8,ug/L,20,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.7 Metals (ICP),7429-90-5,Aluminum,T,690,ug/L,Y,,12-Aug-15,10:50,24,ug/L,200,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,CC48_081215,CC48,200.8 Metals (ICP/MS),7440-62-2,"Vanadium, Dissolved",D,0.3,ug/L,N,U,12-Aug-15,15:30,0.3,ug/L,1,ug/L,Surface Water,37.819984,-107.663275,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7439-89-6,Iron,T,110,ug/L,Y,,12-Aug-15,15:45,17,ug/L,50,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-66-6,"Zinc, Dissolved",D,190,ug/L,Y,,12-Aug-15,15:45,2.8,ug/L,20,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-50-8,"Copper, Dissolved",D,2.7,ug/L,Y,,12-Aug-15,15:45,0.5,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7782-49-2,"Selenium, Dissolved",D,0.58,ug/L,N,U,12-Aug-15,15:45,0.58,ug/L,2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7439-89-6,"Iron, Dissolved",D,17,ug/L,N,U,12-Aug-15,15:45,17,ug/L,50,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7439-92-1,Lead,T,1.9,ug/L,Y,,12-Aug-15,15:45,0.06,ug/L,0.3,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7439-92-1,"Lead, Dissolved",D,0.082,ug/L,Y,J,12-Aug-15,15:45,0.06,ug/L,0.3,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7439-95-4,Magnesium,T,2800,ug/L,Y,,12-Aug-15,15:45,33,ug/L,500,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7439-95-4,"Magnesium, Dissolved",D,2800,ug/L,Y,,12-Aug-15,15:45,33,ug/L,500,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7439-96-5,Manganese,T,850,ug/L,Y,,12-Aug-15,15:45,1.2,ug/L,2.5,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.7 Metals (ICP),7440-09-7,Potassium,T,590,ug/L,Y,J,12-Aug-15,15:45,17,ug/L,1000,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-50-8,Copper,T,5.1,ug/L,Y,,12-Aug-15,15:45,0.5,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7439-96-5,"Manganese, Dissolved",D,810,ug/L,Y,,12-Aug-15,15:45,1.2,ug/L,2.5,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,GKMSW05_081215,GKM05,200.8 Metals (ICP/MS),7440-50-8,"Copper, Dissolved",D,1.4,ug/L,Y,,12-Aug-15,12:00,0.5,ug/L,1,ug/L,Surface Water,37.268704,-107.885857,L2 Val
A8K9,CC48_081215,CC48,200.8 Metals (ICP/MS),7439-92-1,Lead,T,42,ug/L,Y,,12-Aug-15,15:30,0.06,ug/L,0.3,ug/L,Surface Water,37.819984,-107.663275,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-02-0,Nickel,T,1.1,ug/L,Y,,12-Aug-15,15:45,0.4,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7439-98-7,"Molybdenum, Dissolved",D,1.6,ug/L,Y,,12-Aug-15,15:45,0.45,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7439-98-7,Molybdenum,T,1.7,ug/L,Y,,12-Aug-15,15:45,0.45,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,245.1 Mercury (CVAA),7439-97-6,Mercury,T,0.08,ug/L,N,U,12-Aug-15,15:45,0.08,ug/L,0.2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,245.1 Mercury (CVAA),7439-97-6,"Mercury, DISSOLVED",D,0.08,ug/L,N,U,12-Aug-15,15:45,0.08,ug/L,0.2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7782-49-2,Selenium,T,0.58,ug/L,N,U,12-Aug-15,15:45,0.58,ug/L,2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7440-36-0,Antimony,T,0.4,ug/L,N,U,11-Aug-15,16:00,0.4,ug/L,1,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7440-22-4,Silver,T,0.1,ug/L,N,U,11-Aug-15,16:00,0.1,ug/L,1,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7439-89-6,Iron,T,240,ug/L,Y,J,11-Aug-15,16:10,17,ug/L,50,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7440-23-5,Sodium,T,12000,ug/L,Y,,11-Aug-15,16:00,480,ug/L,1000,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7440-36-0,Antimony,T,0.4,ug/L,N,U,11-Aug-15,16:10,0.4,ug/L,1,ug/L,Surface Water,37.280718,-107.876927,L2 Val
